#{"t_start": 1764713411.490542, "env_id": "BreakoutNoFrameskip-v4"}
r,l,t
36.0,3265,4045.020655
30.0,3876,4052.617763
68.0,5859,4064.448826
29.0,3803,4072.093838
51.0,5249,4082.349686
45.0,4866,4091.900908
21.0,2960,4097.716211
39.0,3629,4104.927443
69.0,5624,4116.068434
28.0,3472,4122.824292
37.0,3919,4130.607721
19.0,2566,4135.628952
32.0,3674,4142.819673
29.0,3681,4150.04062
61.0,4832,4159.668163
18.0,2398,4164.348157
23.0,2903,4169.967193
54.0,5453,4180.669152
34.0,4090,4188.909332
32.0,3671,4196.027311
23.0,2157,4200.151345
12.0,2280,4204.499566
35.0,2733,4209.773628
35.0,3430,4242.690955
51.0,5399,4253.470934
65.0,5652,4264.535905
48.0,4605,4273.513242
20.0,2957,4279.29509
30.0,3377,4285.903593
73.0,5196,4295.937474
70.0,5894,4307.440964
35.0,3259,4313.773322
71.0,6323,4326.226113
66.0,5293,4336.726132
57.0,5525,4347.554048
16.0,2237,4352.003237
26.0,2639,4357.111803
55.0,4513,4365.972473
45.0,3992,4373.858654
38.0,3925,4381.537028
75.0,6733,4394.658996
38.0,3550,4401.575415
62.0,5332,4412.229301
59.0,5403,4422.801473
62.0,5791,4434.138625
55.0,5017,4443.863271
53.0,3755,4451.216503
38.0,3990,4459.025449
53.0,4704,4468.285237
22.0,3027,4474.111973
47.0,4707,4483.281106
66.0,6425,4496.124213
54.0,4881,4505.715691
52.0,5017,4515.666643
49.0,5116,4525.757211
30.0,4616,4534.761333
96.0,6110,4547.013193
44.0,4728,4556.450184
55.0,5909,4568.019398
54.0,4547,4577.066778
18.0,2282,4581.576194
63.0,5498,4592.577176
37.0,4620,4601.687521
84.0,6214,4614.032823
40.0,3851,4621.746321
26.0,3226,4628.0675
61.0,5638,4639.294678
56.0,5344,4678.735502
68.0,6115,4690.849703
43.0,4799,4700.58525
50.0,5533,4711.696788
24.0,3730,4719.079044
66.0,4339,4727.501286
40.0,4904,4737.105065
55.0,5577,4748.514557
16.0,2823,4754.242595
57.0,5617,4766.06654
47.0,5052,4776.280668
51.0,4986,4786.376668
46.0,5447,4797.389814
19.0,3338,4803.835213
75.0,6599,4817.159465
37.0,3428,4824.039476
45.0,4474,4832.957945
24.0,3023,4838.9403
55.0,5543,4850.003611
53.0,4964,4859.636708
31.0,2321,4864.116972
61.0,5405,4874.552563
78.0,6432,4887.19737
38.0,4037,4895.016085
51.0,4323,4903.449126
67.0,6195,4915.652133
78.0,5240,4925.829131
30.0,2606,4930.807598
24.0,3194,4936.934775
75.0,4756,4946.322834
32.0,3793,4953.696117
62.0,4540,4962.428915
59.0,5997,4974.190368
56.0,5285,4984.533836
41.0,4237,4992.79961
36.0,4530,5001.583336
56.0,5390,5012.103589
65.0,4854,5021.610649
46.0,3616,5028.689406
31.0,4336,5037.097349
44.0,5083,5046.969659
33.0,3999,5054.72003
28.0,4094,5062.749803
69.0,4777,5091.685207
28.0,3316,5098.188644
42.0,4029,5105.925289
80.0,6261,5118.096672
69.0,6494,5130.772229
